#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (deg)
1,10.0,1.0000,-23.89,85.24
2,15.8,1.0000,-20.05,83.13
3,25.1,1.0000,-16.17,79.62
4,39.8,1.0000,-12.36,74.27
5,63.1,1.0000,-8.79,66.33
6,100.0,1.0000,-5.65,55.32
7,158.5,1.0000,-3.27,41.74
8,251.2,1.0000,-1.76,27.84
9,398.1,1.0000,-0.94,15.34
10,631.0,1.0000,-0.58,4.40
11,1000.0,1.0000,-0.41,-6.30
12,1584.9,1.0000,-0.35,-19.06
13,2511.9,1.0000,-0.45,-37.28
14,3981.1,1.0000,-1.43,-65.84
15,6309.6,1.0000,-5.09,-103.11
16,10000.0,1.0000,-11.72,-133.93
17,15848.9,1.0000,-19.52,-154.04
18,25118.9,1.0000,-27.50,188.27
19,39810.7,1.0000,-34.51,157.21
20,63095.7,1.0000,-35.11,115.46
21,100000.0,1.0000,-31.25,99.67
